node_id,alias,note
ANC:001,두부,한자어
ANC:001,머리통,구어
ANC:001,머리 전체,
SUR:001,이마,
SUR:001,앞머리,
SUR:001,뒤통수,
SUR:001,정수리,
SUR:001,옆머리,
SUR:001,관자놀이,
SUR:002,안구,한자어
SUR:002,눈알,구어
SUR:002,눈꺼풀,
SUR:002,눈두덩,
SUR:003,귓속,
SUR:003,귓바퀴,
SUR:003,귀 안,
SUR:003,귀 뒤,
SUR:004,콧속,
SUR:004,콧등,
SUR:004,비강,한자어
SUR:005,입안,
SUR:005,구강,한자어
SUR:005,입술,
SUR:005,혀,
SUR:005,잇몸,치과는 연결 안 하지만 부위 검색은 입으로
SUR:005,치아,
SUR:005,이빨,구어
SUR:011,목구멍,
SUR:011,인후,한자어
SUR:011,편도,
SUR:011,목 안쪽,
SUR:011,목 속,
SUR:012,뒷목,
SUR:012,목덜미,
SUR:012,옆목,
SUR:012,목 옆,
SUR:012,경추,한자어
SUR:012,목뼈,
ANC:003,흉부,한자어
ANC:003,가슴팍,구어
ANC:003,앞가슴,
SUR:021,가슴뼈,
SUR:021,흉골,한자어
SUR:021,가슴 중앙,
SUR:021,심장 쪽,위치 표현. 진단 아님
SUR:022,갈비뼈,
SUR:022,늑골,한자어
SUR:022,옆가슴,
SUR:022,갈비,
ANC:004,복부,한자어
ANC:004,뱃속,구어
ANC:004,배 전체,
ANC:004,배꼽,
SUR:031,명치,
SUR:031,상복부,한자어
SUR:031,윗배,
SUR:031,명치끝,
SUR:031,배 위쪽,
SUR:032,하복부,한자어
SUR:032,배 아래쪽,
SUR:032,골반,
SUR:032,배꼽 아래,
ANC:013,상지,한자어
ANC:013,팔 전체,
SUR:051,어깻죽지,구어
SUR:051,견관절,한자어
SUR:051,어깨 앞,
SUR:051,어깨 뒤,
SUR:055,윗팔,
SUR:055,상완,한자어
SUR:055,팔 위쪽,
SUR:061,팔굽,
SUR:061,주관절,한자어
SUR:065,아랫팔,
SUR:065,전완,한자어
SUR:065,팔 아래쪽,
SUR:071,손목 관절,
SUR:072,손가락,
SUR:072,손바닥,
SUR:072,손등,
SUR:072,엄지,
SUR:072,검지,
ANC:014,하지,한자어
ANC:014,다리 전체,
SUR:090,대퇴,한자어
SUR:090,넓적다리,
SUR:090,허벅다리,
SUR:091,슬관절,한자어
SUR:091,무릎 앞,
SUR:091,무릎 뒤,
SUR:091,오금,
SUR:097,장딴지,
SUR:097,정강이,
SUR:097,정강이뼈,
SUR:101,발목 관절,
SUR:101,아킬레스,
SUR:102,발가락,
SUR:102,발바닥,
SUR:102,발등,
SUR:102,발뒤꿈치,
SUR:102,뒤꿈치,
ANC:012,요추,한자어
ANC:012,등허리,
SUR:041,허리,단독 '허리'는 가운데로
SUR:041,허리 중앙,
SUR:041,꼬리뼈,디자이너 좌표표 '꼬리뼈' 점 → 허리 가운데
SUR:041,척추 아래,
SUR:041,등 아래,
SUR:042,옆구리,
SUR:042,옆허리,
SUR:042,갈비뼈 아래 옆,
SUR:081,둔부,한자어
SUR:081,고관절,
SUR:081,엉치,
SUR:081,꽁무니,구어
ANC:010,온몸,
ANC:010,몸 전체,
ANC:010,전체,
ANC:010,특정 부위 없음,
ANC:011,살,
ANC:011,피부 표면,
ANC:011,겉,
